270 0 7.28714e-05 0.000269947
280 0 7.28714e-05 0.000269947
290 0 5.48712e-05 0.000234246
300 0 0.000136431 0.000369365
305 0 0.00486611 0.00220593
310 0 0.0208698 0.00452043
315 0 0.0355327 0.00585407
320 0 0.0519964 0.00702088
325 0 0.0857524 0.00885432
330 0 0.0124819 0.00351086
335 0 0.0188404 0.00429947
340 0 0.0239174 0.0048317
345 0 0.0323089 0.00559151
350 0 0.0375607 0.00601248
355 0 0.0414969 0.00630674
360 0 0.0443054 0.00650711
365 0 0.0486031 0.00680006
370 0 0.0512709 0.00697439
375 0 0.0541022 0.00715368
